Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
"Population, total",SP.POP.TOTL,Somalia,SOM,6321615,6319531,6294017,6269244,6278911,6346440,6480888,6672781,6904231,7148406,7385416,7610053,8466938,8686939,8909015,9132589,9356827,9581714,9806670,10033630
"Population, total",SP.POP.TOTL,South Africa,ZAF,35200000,35933108,36690739,37473796,38283223,39120000,40000247,40926063,41899683,42923485,44000000,44909738,47270063,47921682,48596781,49296223,50020918,50771826,51549958,52356381
"Population, total",SP.POP.TOTL,South Sudan,SSD,5762190,5698998,5593347,5484372,5425099,5452771,5584223,5806951,6092688,6398416,6692999,6967817,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623
"Population, total",SP.POP.TOTL,Spain,ESP,38850435,38939049,39067745,39189400,39294967,39387017,39478186,39582413,39721108,39926268,40263216,40756001,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17078000,17306000,17524000,17728000,17912000,18074000,18210000,18323000,18425000,18532000,18655000,18797000,19373000,19520000,19668000,19817000,19967000,20118000,20270000,20424000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40833,41009,41360,41836,42363,42888,43391,43885,44391,44938,45544,46216,49139,49818,50465,51093,51717,52352,52998,53650
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138180,140159,141934,143592,145262,147040,148962,150994,153066,155073,156949,158650,165407,167656,170146,172729,175196,177397,179278,180890
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30036,31821,32892,33238,33098,32712,32102,31304,30358,29305,28384,27782,27906,28414,28905,29376,29820,30235,30615,30959
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107509,107811,108001,108097,108129,108122,108078,108001,107923,107879,107897,107989,108749,108908,109049,109165,109255,109316,109341,109334
"Population, total",SP.POP.TOTL,Sudan,SDN,20008804,20861117,21820588,22829227,23805536,24691970,25466387,26149124,26777059,27406808,28079664,28805142,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420
