Country;Year;Total GHG Emissions Including LUCF
Austria;2003;7.106.378.722
Austria;2004;7.086.704.045
Austria;2005;7.168.232.968
Austria;2006;9.156.969.203
Austria;2007;8.917.968.639
Austria;2008;9.014.013.475
Austria;2009;8.280.165.711
Austria;2010;8.817.307.747
Austria;2011;8.666.239.572
Austria;2012;8.365.443.451
Azerbaijan;1990;7.115.368.644
Azerbaijan;1991;8.051.777.596
Azerbaijan;1992;6.256.999.109
Azerbaijan;1993;70.386.661
Azerbaijan;1994;636.211.869
Azerbaijan;1995;6.027.024.681
Azerbaijan;1996;5.559.357.656
Azerbaijan;1997;5.524.407.631
Azerbaijan;1998;5.656.840.006
Azerbaijan;1999;5.476.071.582
Azerbaijan;2000;5.629.294.557
Azerbaijan;2001;5.604.159.742
Azerbaijan;2002;5.675.530.927
Azerbaijan;2003;5.343.665.712
Azerbaijan;2004;5.558.597.697
Azerbaijan;2005;5.890.565.282
Azerbaijan;2006;5.837.812.828
Azerbaijan;2007;5.814.566.175
Azerbaijan;2008;6.326.162.721
Azerbaijan;2009;5.953.320.668
Azerbaijan;2010;6.084.074.014
Azerbaijan;2011;647.733.009
Azerbaijan;2012;6.933.737.508
The Bahamas;1990;0.907610173
The Bahamas;1991;0.741290082
The Bahamas;1992;0.752281991
The Bahamas;1993;0.6626759
The Bahamas;1994;0.653197809
The Bahamas;1995;0.654633718
The Bahamas;1996;0.651857145
The Bahamas;1997;0.347550572
The Bahamas;1998;0.687369999
The Bahamas;1999;0.677317426
The Bahamas;2000;0.696058853
The Bahamas;2001;1.074.003.642
The Bahamas;2002;108.054.443
The Bahamas;2003;0.990703218
The Bahamas;2004;1.369.980.006
The Bahamas;2005;1.181.136.794
The Bahamas;2006;1.825.617.638
The Bahamas;2007;1.849.656.482
The Bahamas;2008;1.503.557.326
The Bahamas;2009;198.252.017
The Bahamas;2010;2.763.915.013
The Bahamas;2011;2.385.553.109
The Bahamas;2012;4.172.847.205
Bahrain;1990;1.528.704.083
Bahrain;1991;1.489.589.369
Bahrain;1992;1.693.947.654
Bahrain;1993;179.450.234
Bahrain;1994;1.834.394.626
Bahrain;1995;1.865.711.312
Bahrain;1996;1.926.685.468
Bahrain;1997;1.976.746.823
Bahrain;1998;2.076.070.579
Bahrain;1999;2.093.919.135
Bahrain;2000;2.138.012.091
Bahrain;2001;220.048.238
Bahrain;2002;230.127.247
Bahrain;2003;2.364.279.359
Bahrain;2004;2.373.881.049
Bahrain;2005;2.660.808.338
Bahrain;2006;2.866.324.354
Bahrain;2007;289.965.337
Bahrain;2008;3.110.794.786
Bahrain;2009;3.152.265.801
Bahrain;2010;3.269.833.817
Bahrain;2011;3.281.949.064
Bahrain;2012;3.325.090.111
Bangladesh;1990;1.194.942.068
Bangladesh;1991;118.888.687
Bangladesh;1992;1.209.486.732
Bangladesh;1993;1.226.925.394
Bangladesh;1994;1.252.377.196
Bangladesh;1995;1.312.271.858
Bangladesh;1996;1.321.669.508
Bangladesh;1997;1.342.614.758
Bangladesh;1998;1.353.959.347
Bangladesh;1999;1.387.997.497
Bangladesh;2000;1.419.190.367
Bangladesh;2001;1.476.013.594
Bangladesh;2002;1.501.331.922
Bangladesh;2003;152.152.699
Bangladesh;2004;1.525.843.758
Bangladesh;2005;1.568.959.586
Bangladesh;2006;1.612.423.033
Bangladesh;2007;1.643.598.081
Bangladesh;2008;1.714.008.569
Bangladesh;2009;1.748.530.516
Bangladesh;2010;1.822.115.364
Bangladesh;2011;1.868.363.975
Bangladesh;2012;1.898.557.786
Barbados;1990;2.827.493.658
Barbados;1991;2.986.126.904
Barbados;1992;2.786.498.149
Barbados;1993;2.944.115.395
Barbados;1994;2.608.088.641
Barbados;1995;2.714.891.886
Barbados;1996;2.748.712.948
Barbados;1997;280.399.201
Barbados;1998;3.054.743.071
Barbados;1999;3.132.366.133
Barbados;2000;3.118.599.194
Barbados;2001;3.163.505.658
Barbados;2002;3.165.874.122
Barbados;2003;3.214.832.586
Barbados;2004;3.253.977.049
Barbados;2005;3.306.161.513
Barbados;2006;3.343.606.937
Barbados;2007;3.406.612.361
Barbados;2008;3.619.483.785
Barbados;2009;3.621.795.209
Barbados;2010;3.527.414.633
Barbados;2011;3.590.189.376
Barbados;2012;3.349.630.118
Belarus;1990;1.318.896.893
Belarus;1991;1.266.288.803
Belarus;1992;1.543.836.021
Belarus;1993;1.028.748.554
Belarus;1994;8.846.532.471
Belarus;1995;7.834.491.203
Belarus;1996;7.903.223.788
Belarus;1997;7.791.695.574
Belarus;1998;7.516.159.159
Belarus;1999;7.325.798.544
Belarus;2000;7.279.566.329
Belarus;2001;6.589.931.136
Belarus;2002;7.006.498.342
Belarus;2003;6.886.594.949
Belarus;2004;7.134.563.155
Belarus;2005;7.104.374.362
Belarus;2006;6.916.312.031
Belarus;2007;6.672.142.099
Belarus;2008;6.772.751.768
Belarus;2009;6.589.422.037
Belarus;2010;6.893.447.705
Belarus;2011;702.627.248
Belarus;2012;7.534.898.241
Belgium;1990;1.206.866.324
Belgium;1991;12.630.757
Belgium;1992;1.258.336.117
Belgium;1993;1.232.554.773
Belgium;1994;1.294.975.509
Belgium;1995;1.292.549.845
Belgium;1996;1.350.781.221
Belgium;1997;1.323.460.598
Belgium;1998;1.342.347.814
Belgium;1999;130.776.687
Belgium;2000;1.414.529.986
Belgium;2001;1.404.148.429
Belgium;2002;1.334.477.071
Belgium;2003;1.401.396.054
Belgium;2004;1.357.393.236
Belgium;2005;1.328.568.038
Belgium;2006;1.308.238.904
Belgium;2007;1.268.933.149
Belgium;2008;1.309.584.674
Belgium;2009;1.215.671.879
Belgium;2010;1.300.427.985
Belgium;2011;1.309.854.698
Belgium;2012;1.251.084.542
Belize;1990;105.785.724
Belize;1991;1.075.064.309
Belize;1992;1.090.420.777
Belize;1993;1.104.405.046
Belize;1994;1.117.554.514
Belize;1995;1.128.628.783
Belize;1996;1.138.686.807
Belize;1997;1.158.902.231
Belize;1998;1.184.141.855
Belize;1999;1.218.957.679
Belize;2000;1.246.189.903
Belize;2001;1.254.991.297
Belize;2002;1.240.857.692
Belize;2003;1.298.455.687
Belize;2004;1.274.710.881
Belize;2005;1.317.433.876
Belize;2006;1.321.416.983
Belize;2007;136.875.489
Belize;2008;1.378.954.198
Belize;2009;1.390.847.305
Belize;2010;1.412.766.612
Belize;2011;1.449.928.794
Belize;2012;1.459.340.576
Benin;1990;2.036.864.808
Benin;1991;2.028.500.427
Benin;1992;2.035.864.246
Benin;1993;2.044.612.265
Benin;1994;2.064.530.284
Benin;1995;2.051.828.103
Benin;1996;2.128.071.548
Benin;1997;2.150.631.193
Benin;1998;2.244.964.639
Benin;1999;2.229.224.084
Benin;2000;2.240.273.329
Benin;2001;1.783.490.935
Benin;2002;1.914.445.541
Benin;2003;1.884.902.147
Benin;2004;1.888.989.752
Benin;2005;2.023.075.358
Benin;2006;2.070.701.004
Benin;2007;2.141.009.251
Benin;2008;2.131.515.497
Benin;2009;2.170.485.543
Benin;2010;2.195.254.589
Benin;2011;2.193.095.455
Benin;2012;2.175.512.722
Bhutan;1990;-1.609.984.737
Bhutan;1991;-5.352.657.869
Bhutan;1992;-5.366.799
Bhutan;1993;-5.413.912.132
Bhutan;1994;-5.399.191.264
Bhutan;1995;-5.330.898.396
Bhutan;1996;-5.314.077.123
Bhutan;1997;-523.612.185
Bhutan;1998;-5.242.314.577
Bhutan;1999;-5.210.635.304
Bhutan;2000;-5.292.118.031
Bhutan;2001;-703.605.783
Bhutan;2002;-7.055.573.629
Bhutan;2003;-7.112.885.428
Bhutan;2004;-7.199.739.227
