Cite as: CAIT Climate Data Explorer. 2015. Washington; DC: World Resources Institute. Available online at:•À_http://cait.wri.org.•À_ Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014; FAOSTAT Emissions Database. Any use of CO2•À_emissions from fuel combustion data should be cited as CO2•À_Emissions from Fuel Combustion; •À_OECD/IEA; 2014.;;;;;;;;;;;;;;;;;
;;Total GHG;;Emissions by Gas excluding LUCF;;;;Emissions by Gas including LUCF;;;Emissions by Sector;;;;;;Emissions by Energy Sub-Sector;;;;
Country;Year;Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e);Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?);Total CO2 (excluding Land-Use Change and Forestry) (MtCO2);Total CH4 (MtCO2e);Total N2O (MtCO2e);Total F-Gas (MtCO2e);Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e);Energy (MtCO2e);Industrial Processes (MtCO2e);Agriculture (MtCO2e);Waste (MtCO2e);Land-Use Change and Forestry (MtCO2);Bunker Fuels (MtCO2);Electricity/Heat (MtCO2);Manufacturing/Construction (MtCO2);Transportation (MtCO2);Other Fuel Combustion (MtCO2e);Fugitive Emissions (MtCO2e)
Cook Islands;1990;0.069781747;0.070871747;0.022;0.0086;0.0392;0;0.023074;;;;0;0.0082;0.0396;0.0011;;;;;;0
Cook Islands;1991;0.069763025;0.050803025;0.022;0.0086;0.0392;0;0.003024;;;;0;0.0082;0.0396;-0.019;;;;;;0
Cook Islands;1992;0.070464304;0.071564304;0.022;0.009;0.0394;0;0.023084;;;;0;0.0089;0.0395;0.0011;;;;;;0
Cook Islands;1993;0.073235582;0.054295582;0.022;0.0113;0.0399;0.0001;0.003044;;;;0.0001;0.0117;0.0395;-0.0189;;;;;;0
Cook Islands;1994;0.07464686;0.07574686;0.022;0.0124;0.0402;0.0001;0.023084;;;;0.0001;0.0131;0.0395;0.0011;;;;;;0
Cook Islands;1995;0.075948139;0.057028139;0.022;0.0135;0.0404;0.0001;0.003064;;;;0.0001;0.0145;0.0394;-0.0189;;;;;;0
Cook Islands;1996;0.077546084;0.058636084;0.022;0.0155;0.0398;0.0002;0.003074;;;;0.0002;0.0168;0.0386;-0.0189;;;;;;0
Cook Islands;1997;0.07674403;0.07786403;0.022;0.0155;0.039;0.0003;0.023104;;;;0.0003;0.0168;0.0377;0.0011;;;;;;0
Cook Islands;1998;0.075991975;0.057111975;0.022;0.0154;0.0382;0.0004;0.003104;;;;0.0004;0.0168;0.0368;-0.0189;;;;;;0
Cook Islands;1999;0.082497921;0.083627921;0.0293;0.0154;0.0374;0.0004;0.030442;;;;0.0004;0.0168;0.036;0.0011;;;;;;0
Cook Islands;2000;0.081685867;0.062825867;0.0293;0.0153;0.0365;0.0005;0.010452;;;;0.0005;0.0167;0.0351;-0.0189;;;;;;0
Cook Islands;2001;0.084139312;0.085279312;0.033;0.0152;0.0353;0.0007;0.034116;;;;0.0007;0.0165;0.0339;0.0011;;;;;;0
Cook Islands;2002;0.079474757;0.080614757;0.0293;0.0151;0.0342;0.0009;0.030452;;;;0.0009;0.0165;0.0328;0.0011;;;;;;0
Cook Islands;2003;0.078078203;0.079218203;0.033;0.0118;0.0323;0.001;0.034116;;;;0.001;0.0125;0.0316;0.0011;;;;;;0
Cook Islands;2004;0.099751648;0.100891648;0.055;0.0123;0.0313;0.0012;0.0561;;;;0.0012;0.0131;0.0304;0.0011;;;;;;0
Cook Islands;2005;0.106119093;0.107259093;0.0623;0.0122;0.0302;0.0014;0.063428;;;;0.0014;0.0132;0.0293;0.0011;;;;;;0
Cook Islands;2006;0.109155859;0.104605859;0.066;0.0122;0.0294;0.0016;0.061402;;;;0.0016;0.0133;0.0284;-0.0046;;;;;;0
Cook Islands;2007;0.108408624;0.103858624;0.066;0.0122;0.0285;0.0018;0.061402;;;;0.0018;0.0132;0.0275;-0.0046;;;;;;0
Cook Islands;2008;0.111485389;0.106935389;0.0696;0.0121;0.0277;0.002;0.065066;;;;0.002;0.0133;0.0265;-0.0046;;;;;;0
Cook Islands;2009;0.110798154;0.106248154;0.0696;0.0121;0.0269;0.0023;0.065066;;;;0.0023;0.0133;0.0256;-0.0046;;;;;;0
Cook Islands;2010;0.11005092;0.10550092;0.0696;0.012;0.0259;0.0025;0.065066;;;;0.0025;0.0132;0.0247;-0.0046;;;;;;0
Cook Islands;2011;0.109652371;0.105102371;0.0696;0.012;0.0253;0.0028;0.065066;;;;0.0028;0.0132;0.024;-0.0046;;;;;;0
Cook Islands;2012;0.189977822;0.185427822;0.1503;0.0119;0.0246;0.0031;0.14578;;;;;0.0132;0.0233;-0.0046;;;;;;0
Costa Rica;1990;829.460.315;1.445.541.315;29.078;35.296;18.502;0.0071;9.051.486;3.541.688.066;1.855.182.604;29.248;0.4692;44.399;0.4607;61.608;0.25;0.19;0.69;1.57;0.4745;0.0003
Costa Rica;1991;8.539.753.816;1.470.350.382;30.881;35.555;18.867;0.0095;923.473;3.567.625.079;1.891.685.393;30.306;0.5119;44.524;0.5348;61.638;0.19;0.25;0.65;1.63;0.5003;0.0003
Costa Rica;1992;9.628.790.482;1.579.548.048;41.681;35.632;18.857;0.0119;1.031.767;3.575.252.092;1.890.688.182;40.964;0.5143;44.091;0.609;61.667;0.37;0.66;0.55;2.37;0.5161;0.0003
Costa Rica;1993;9.683.545.148;1.585.317.515;42.087;36.077;18.529;0.0143;10.361.218;3.619.769.105;1.857.910.971;40.221;0.5973;43.709;0.6831;61.696;0.5;0.49;0.57;2.44;0.5219;0.0002
Costa Rica;1994;1.009.141.581;1.626.398.581;4.869;33.932;18.125;0.0167;11.024.462;3.405.306.119;1.817.533.759;46.379;0.6401;40.662;0.7573;61.726;0.45;0.89;0.65;2.57;0.5277;0.0002
Costa Rica;1995;969.905.248;1.587.456.248;48.324;31.503;16.973;0.0191;10.990.762;3.162.353.132;1.702.356.548;46.037;0.6058;36.581;0.8314;61.755;0.68;0.86;0.66;2.56;0.5235;0.0002
Costa Rica;1996;9.528.101.212;1.570.187.121;4.544;31.597;17.927;0.0316;10.705.382;3.168.509.436;1.796.326.486;43.168;0.6001;36.909;0.9204;61.738;0.69;0.52;0.64;2.58;0.5766;0.0002
Costa Rica;1997;9.581.639.943;1.576.881.994;4.519;31.743;18.442;0.0442;10.682.232;319.109.574;1.851.296.423;42.399;0.6676;36.848;10.093;61.872;0.57;0.29;0.7;2.65;0.5998;0.0001
Costa Rica;1998;1.025.412.867;1.646.755.867;50.523;32.567;18.884;0.0567;11.219.172;3.289.252.044;190.238.636;4.653;0.7534;37.394;10.983;62.134;0.68;0.36;0.75;2.93;0.6129;0.0001
Costa Rica;1999;1.003.922.541;1.623.355.541;50.696;32.172;16.831;0.0693;1.124.044;3.233.758.348;1.690.046.298;46.561;0.7733;34.226;11.873;61.943;0.75;0.13;0.79;3.04;0.696;0.0001
Costa Rica;2000;9.843.506.137;1.603.993.614;4.974;32.095;15.782;0.0819;11.147.542;3.225.614.652;1.584.916.235;45.692;0.7602;32.379;12.762;61.964;0.7;0.06;0.85;2.94;0.7192;0.0001
Costa Rica;2001;1.019.339.583;2.572.895.832;54.572;31.661;14.653;0.1047;-2.207.918;319.808.636;147.799.462;50.143;0.8563;30.292;12.935;-76.205;0.65;0.19;0.89;3.14;0.7941;0.0002
Costa Rica;2002;1.017.606.553;2.514.045.528;55.772;31.249;13.463;0.1276;-2.102.108;3.137.088.068;1.351.463.005;51.594;0.8792;28.166;13.108;-7.662;0.88;0.18;0.73;3.47;0.7791;0.0004
Costa Rica;2003;1.061.379.922;2.940.199.224;58.543;30.934;15.156;0.1505;-1.828.564;3.099.889.775;151.839.139;55.245;0.8691;2.902;13.282;-76.736;0.47;0.23;0.97;3.55;0.774;0.0005
Costa Rica;2004;1.085.073.892;319.219.892;61.475;3.056;1.474;0.1734;-1.529.964;3.069.471.483;1.479.329.775;56.596;10.752;27.704;13.455;-76.585;0.64;0.13;0.97;3.9;0.6589;0.0007
Costa Rica;2005;1.175.283.062;4.069.290.615;66.866;31.733;16.966;0.1963;-0.998582;3.174.493.191;169.713.816;59.947;13.472;30.581;13.628;-76.835;0.92;0.29;0.96;4.03;0.7139;0.0008
Costa Rica;2006;1.155.200.741;3.936.527.409;65.962;31.522;15.836;0.2201;-102.383;3.155.461.624;1.584.756.176;62.121;10.707;28.865;13.827;-76.155;0.84;0.56;0.97;3.92;0.7612;0.0009
Costa Rica;2007;129.416.042;5.327.744.203;77.368;33.264;16.344;0.244;0.114602;3.332.290.057;1.636.844.192;69.195;15.452;30.742;14.026;-76.139;0.88;0.73;1.18;4.21;0.7985;0.001
Costa Rica;2008;13.253.887;5.631.326.997;78.358;34.601;16.902;0.2679;0.21036;346.206.849;1.691.012.207;69.369;1.668;32.264;14.226;-76.226;0.77;0.67;1.13;4.32;0.8159;0.001
Costa Rica;2009;1.258.012.779;4.984.757.791;70.275;3.521;17.399;0.2918;-0.594254;3.539.636.923;1.747.610.223;66.443;11.936;32.998;14.425;-75.954;0.58;0.43;1.01;4.37;0.8332;0.0011
Costa Rica;2010;1.278.483.258;5.158.412.585;71.675;36.241;16.775;0.3156;-0.460254;3.625.085.356;1.677.928.239;69.117;11.076;33.032;14.624;-76.264;0.58;0.6;1;4.52;0.7905;0.0012
Costa Rica;2011;133.366.056;5.711.165.602;74.788;36.581;18.595;0.3402;-0.150228;3.660.589.356;1.860.601.622;70.778;12.933;34.938;14.817;-76.254;0.59;0.67;0.99;4.6;0.8167;0.0012
Costa Rica;2012;1.257.666.062;4.972.700.619;6.75;36.186;18.433;0.3648;-0.87686;3.634.763.355;1.850.035.005;7.144;;34.126;1.501;-7.604;0.53;0.58;1.02;4.71;0.8328;0.0011
Cote d'Ivoire;1990;234.770.575;246.532.875;29.692;165.758;39.281;0.004;3.932.792;1.672.421.104;3.992.319.592;109.559;0.2531;45.218;77.362;11.762;0.39;0.6;0.41;1.18;87.021;0.0638
Cote d'Ivoire;1991;2.408.666.465;1.837.529.465;30.492;170.748;39.576;0.0051;-2.874.808;172.232.264;4.021.817.288;112.074;0.2542;46.384;80.066;-57.114;0.54;0.65;0.44;1.17;88.304;0.1171
Cote d'Ivoire;1992;245.850.558;188.720.158;30.428;175.541;3.982;0.0062;-2.882.814;1.770.248.177;4.046.194.983;11.319;0.259;47.301;82.771;-5.713;0.58;0.7;0.44;1.12;88.887;0.1703
Cote d'Ivoire;1993;2.518.319.895;1.946.848.895;32.192;179.133;40.435;0.0072;-2.708.148;1.806.163.713;4.107.752.678;116.505;0.2564;47.388;85.475;-57.147;0.54;0.92;0.45;1.09;89.669;0.2236
Cote d'Ivoire;1994;261.951.541;204.787.741;36.496;184.499;40.873;0.0083;-227.937;1.859.826.249;4.151.540.374;11.912;0.5579;49.073;88.179;-57.164;0.59;1.06;0.45;1.08;90.452;0.2768
Cote d'Ivoire;1995;2.681.000.525;2.109.195.525;37.683;189.247;41.076;0.0094;-2.162.336;1.907.304.785;4.171.808.069;122.336;0.5077;49.904;90.883;-57.181;0.53;1.03;0.47;1.22;91.835;0.3301
Cote d'Ivoire;1996;2.612.154.238;2.030.032.238;43.883;178.655;38.499;0.0178;-1.544.366;1.794.335.726;3.883.543.559;11.476;0.5161;48.594;92.701;-58.212;0.57;1.49;0.55;1.24;77.525;0.4434
Cote d'Ivoire;1997;2.610.803.551;2.046.292.551;53.496;169.583;3.774;0.0261;-0.58485;1.716.021.666;3.861.429.049;110.184;0.5757;50.621;94.519;-56.451;0.57;2.14;0.64;1.36;63.216;0.5568
Cote d'Ivoire;1998;2.476.508.464;1.947.688.464;51.624;160.036;35.645;0.0345;-0.768858;1.645.239.606;3.758.854.539;96.808;0.3569;50.837;96.336;-52.882;0.58;2.47;0.53;1.2;48.106;0.6702
Cote d'Ivoire;1999;2.532.316.178;2.003.404.178;70.024;150.288;32.491;0.0428;1.066.512;1.547.999.547;3.444.690.029;101.632;0.3653;49.793;98.154;-52.891;0.61;2.5;0.78;1.41;46.896;0.7836
Cote d'Ivoire;2000;2.395.831.891;1.851.570.891;66.424;141.572;31.075;0.0512;0.704972;1.450.246.487;3.257.075.518;84.356;0.3736;51.519;99.972;-54.426;0.66;2.36;0.77;1.28;31.286;0.8969
Cote d'Ivoire;2001;2.430.805.827;1.529.065.827;65.724;146.352;30.325;0.0679;-2.655.378;1.478.193.207;309.617.465;8.634;0.3904;50.454;102.383;-90.174;0.62;2.46;0.76;1.25;30.638;11.002
Cote d'Ivoire;2002;2.563.200.764;1.647.288.764;66.924;154.278;34.272;0.0846;-2.538.348;1.547.774.927;3.448.843.782;90.224;0.4071;57.232;104.794;-91.591;0.59;2.63;0.71;1.4;2.979;13.034
Cote d'Ivoire;2003;2.454.292.701;1.542.058.701;54.724;157.886;31.806;0.1014;-3.751.198;1.585.971.648;3.210.702.913;80.708;0.4238;53.279;107.205;-91.223;0.56;2.18;0.55;1.03;28.042;15.066
Cote d'Ivoire;2004;2.438.152.637;1.519.077.637;57.424;158.255;26.955;0.1181;-3.494.178;1.585.750.368;2.709.352.045;86.092;0.4405;43.702;109.616;-91.908;0.56;2.33;0.57;1.13;28.693;17.099
Cote d'Ivoire;2005;2.640.648.574;1.729.546.574;61.224;168.725;32.767;0.1348;-3.108.978;1.695.687.088;3.312.761.177;92.676;0.4572;5.489;112.027;-9.111;0.63;3.13;0.4;1.21;26.145;19.131
Cote d'Ivoire;2006;2.636.368.491;3.189.804.491;57.995;172.369;31.718;0.1555;11.232.026;1.730.791.355;3.202.648.477;92.273;0.335;53.455;114.559;55.344;0.43;2.34;0.55;1.27;3.024;20.433
Cote d'Ivoire;2007;2.650.495.009;3.219.941.009;57.745;174.837;30.707;0.1761;11.207.286;1.766.617.623;3.149.845.778;9.297;0.4106;50.882;117.091;56.945;0.49;2.45;0.43;1.28;29.636;21.735
Cote d'Ivoire;2008;2.773.651.526;3.334.788.526;65.195;179.298;30.904;0.1967;11.957.246;180.512.289;3.142.663.079;102.567;0.3763;51.512;119.623;56.114;0.38;2.84;0.58;1.55;29.831;23.037
Cote d'Ivoire;2009;2.752.302.643;3.303.489.643;60.492;182.571;29.993;0.2174;11.480.692;1.831.319.157;302.362.038;99.665;0.3566;49.844;122.155;55.119;0.22;2.51;1.07;1.57;23.826;24.339
Cote d'Ivoire;2010;280.569.816;335.445.416;63.492;185.602;29.096;0.238;11.780.352;1.859.951.425;2.926.637.681;104.162;0.3773;47.948;124.687;54.876;0.24;2.91;0.99;1.48;24.721;2.564
Cote d'Ivoire;2011;2.810.330.833;3.358.714.833;59.902;189.039;29.455;0.2637;11.421.974;1.894.025.232;2.961.190.464;100.931;0.414;48.526;127.336;54.838;0.21;2.79;0.9;1.51;22.914;26.017
Cote d'Ivoire;2012;3.019.287.906;3.577.640.906;7.83;191.409;29.325;0.2894;1.326.086;1.924.741.039;2.978.693.248;121.501;;4.755;129.984;55.835;0.24;3.63;1;2.35;25.307;26.394
Croatia;1990;2.688.534.129;2.688.534.129;229.135;;;0.9475;;;;230.683;32.054;;0.6116;;0.3;8.01;6.04;3.92;38.484;12.499
Croatia;1991;2.073.079.764;2.073.079.764;169.743;;;0.764;;;;171.676;29.252;;0.638;;0;5.65;4.26;2.94;30.833;12.343
Croatia;1992;227.575.395;227.702.995;160.494;35.651;25.625;0.5805;1.605.114;3.572.117.513;2.566.510.248;166.568;22.793;3.167;0.6644;0.0128;0;6.21;3.85;2.83;25.481;12.187
Croatia;1993;2.275.889.973;1.127.635.973;165.791;35.004;22.824;0.3971;5.085.526;3.507.391.293;2.286.389.084;171.761;2.038;2.854;0.6908;-114.825;0.1;6.71;3.55;2.99;2.723;12.031
Croatia;1994;2.185.147.395;1.033.070.395;159.923;34.049;22.407;0.2136;4.460.506;3.411.945.072;224.469.792;163.553;20.202;27.488;0.7172;-115.208;0.33;5.48;3.76;3.15;27.778;11.875
Croatia;1995;2.219.231.018;1.063.332.018;16.65;33.217;21.905;0.0301;5.080.068;3.328.718.852;2.194.456.756;171.646;1.647;26.471;0.7436;-11.559;0.27;6.13;3.57;3.33;29.627;11.719
Croatia;1996;2.200.521.359;1.039.988.359;165.097;32.204;22.258;0.0494;4.900.434;3.222.741.303;2.227.300.674;169.422;17.388;25.983;0.726;-116.053;0.25;5.97;3.39;3.51;29.124;11.598
Croatia;1997;2.414.133.699;1.251.018.699;183.226;31.731;25.769;0.0688;667.504;3.184.233.755;2.582.154.592;185.997;19.039;29.193;0.7084;-116.312;0.24;6.35;3.86;3.96;32.821;11.476
Croatia;1998;249.419.424;133.339.624;195.132;31.225;22.182;0.0881;7.830.718;3.170.556.206;2.244.588.509;197.173;20.067;25.272;0.6908;-11.608;0.27;7.46;3.61;4.12;33.919;11.354
Croatia;1999;2.512.403.781;1.340.491.781;19.652;3.116;22.486;0.1074;7.929.126;3.118.428.658;2.249.932.427;196.349;22.377;25.682;0.6732;-117.191;0.18;6.82;3.54;4.41;37.416;11.233
Croatia;2000;2.462.537.121;1.289.385.121;190.816;3.053;2.364;0.1268;7.330.672;3.065.611.109;2.370.776.345;190.124;23.296;26.378;0.6556;-117.315;0.16;6.25;3.65;4.41;35.913;11.111
Croatia;2001;2.572.465.467;1.420.365.467;201.358;31.317;22.964;0.1607;8.613.014;3.132.871.275;2.297.068.529;19.926;25.452;25.893;0.6741;-11.521;0.15;6.74;3.71;4.5;38.211;1.155
Croatia;2002;2.710.037.814;1.554.240.814;212.318;31.659;25.081;0.1946;9.670.876;3.167.461.442;2.509.440.713;209.997;26.326;27.755;0.6926;-11.558;0.13;7.56;3.52;4.8;39.208;11.989
Croatia;2003;286.641.316;170.709.616;22.751;32.688;24.158;0.2285;11.153.638;3.271.631.608;2.417.142.897;224.333;27.933;27.264;0.7111;-115.932;0.14;8.22;3.63;5.19;41.505;12.428
Croatia;2004;2.857.203.706;1.693.536.706;22.298;33.849;26.267;0.2625;10.660.882;3.385.101.774;2.626.925.081;219.669;28.918;29.938;0.7296;-116.367;0.16;7.16;4.08;5.36;40.803;12.866
Croatia;2005;2.863.839.853;1.696.712.853;224.631;34.233;24.556;0.2964;10.787.912;342.548.194;2.457.357.265;223.306;27.483;28.014;0.7481;-116.713;0.2;7.14;4.21;5.55;4.1;13.305
Croatia;2006;2.923.230.221;1.771.189.221;225.517;34.371;28.902;0.3533;11.031.076;3.437.237.258;2.890.289.929;223.166;28.542;32.639;0.7976;-115.204;0.18;6.93;4.33;5.9;38.709;12.857
Croatia;2007;306.117.779;190.846.179;23.838;33.956;29.679;0.4102;12.289.982;3.410.002.576;2.974.432.594;235.425;28.978;33.143;0.8472;-115.272;0.2;8.04;4.44;6.27;35.517;12.408
Croatia;2008;2.988.848.558;1.830.271.558;227.837;33.344;33.033;0.4671;1.119.245;3.337.447.894;3.305.705.259;224.285;29.707;36.025;0.8967;-115.858;0.22;6.93;4.48;6.19;36.326;1.196
Croatia;2009;2.721.509.926;1.558.759.926;211.743;33.331;21.837;0.524;9.546.804;3.333.063.213;2.183.707.923;211.545;26.186;24.957;0.9462;-116.275;0.15;6.54;3.64;6.16;36.634;11.511
Croatia;2010;2.647.063.295;1.480.752.295;203.364;32.651;22.882;0.5809;8.673.258;3.265.128.531;2.288.200.588;203.505;25.779;25.464;0.9958;-116.631;0.18;6.05;3.55;5.93;37.142;11.063
Croatia;2011;2.649.716.665;1.481.087.665;201.147;32.555;24.838;0.6433;8.416.098;3.262.370.084;2.489.143.675;201.006;26.613;27.404;0.9948;-116.863;0.23;6.36;3.35;5.83;34.695;10.911
Croatia;2012;2.347.112.235;1.175.396.235;17.19;32.322;23.433;0.7056;545.607;3.242.271.638;2.350.026.763;185.107;;25.849;0.9938;-117.172;0.2;5.71;2.95;5.61;31.647;1.076
Cuba;1990;5.277.175.087;3.848.534.087;352.849;106.611;68.002;0.0256;20.936.722;1.070.413.707;6.818.916.885;348.362;25.497;127.096;26.763;-142.864;1.04;12.75;10.65;5.02;64.048;0.0113
Cuba;1991;4.442.360.436;2.254.712.436;275.766;104.977;63.193;0.0301;5.638.348;1.054.074.009;6.337.953.362;276.572;18.606;123.685;25.473;-218.765;0.91;10.97;7.44;3.8;53.579;0.0893
Cuba;1992;3.869.352.186;1.629.136.186;222.466;105.278;58.845;0.0346;-0.217332;1.057.084.312;590.324.984;223.282;16.698;122.672;24.184;-224.022;0.68;9;6.12;2.66;43.809;0.1673
Cuba;1993;3.512.835.335;1.220.051.335;20.144;98.625;50.828;0.0391;-2.845.668;9.905.536.145;5.101.526.318;207.292;10.064;111.034;22.894;-229.278;0.64;9.15;5.74;2;35.939;0.2453
Cuba;1994;3.657.135.684;1.311.909.684;216.586;102.677;46.015;0.0436;-1.855.432;1.031.073.917;4.620.152.796;222.503;0.8302;113.305;21.604;-234.523;0.55;10.37;6.01;1.93;3.617;0.3233
Cuba;1995;3.739.815.634;1.342.169.634;231.428;98.943;43.129;0.0481;-0.89544;9.937.402.199;4.331.579.273;235.613;0.8336;109.718;20.314;-239.765;0.57;10.88;6.69;2.03;3.56;0.4013
Cuba;1996;3.999.571.168;1.548.703.168;250.855;105.367;42.911;0.0824;0.523032;1.057.419.207;4.307.417.647;257.271;0.8582;113.438;20.665;-245.087;0.88;11.46;7.35;2.25;40.827;0.5845
Cuba;1997;4.270.244.102;1.766.155.102;275.131;10.658;44.147;0.1166;2.426.478;1.068.988.195;442.857.602;282.461;10.147;11.34;21.016;-250.409;0.99;10.8;9.4;2.83;41.754;10.407
Cuba;1998;4.233.655.837;1.681.445.837;270.658;108.101;43.099;0.1509;1.454.922;1.087.196.182;4.336.734.394;280.109;10.503;111.386;21.368;-255.221;1;10.67;9.92;2.56;3.728;11.329
Cuba;1999;4.289.884.171;1.686.229.171;279.324;106.831;40.982;0.1851;1.797.352;107.518.217;4.128.032.767;290.468;11.189;105.514;21.719;-260.366;0.87;10.23;11.22;2.41;38.707;1.316
Cuba;2000;4.340.707.105;1.686.584.105;283.055;108.099;40.724;0.2193;1.646.208;1.089.218.157;4.108.131.141;297.026;10.738;104.037;2.207;-265.412;0.69;10.82;10.99;2.23;41.634;14.992
Cuba;2001;4.253.452.398;1.999.401.398;274.216;106.476;41.857;0.2796;485.483;1.066.586.991;4.193.668.303;290.046;0.9764;103.453;22.182;-225.405;0.62;9.57;11.88;2.27;37.534;15.312
Cuba;2002;4.118.072.491;1.827.526.491;262.516;107.135;38.757;0.34;332.486;1.072.829.824;3.882.145.465;278.366;10.329;100.917;22.295;-229.055;0.73;12.75;8.11;2.1;33.134;15.632
Cuba;2003;4.056.959.783;1.729.474.783;256.726;108.579;36.388;0.4003;2.385.882;1.086.617.657;3.642.422.627;272.386;11.004;99.898;22.407;-232.749;0.5;13.34;6.08;1.93;42.934;15.952
Cuba;2004;4.003.041.076;1.643.372.076;254.119;104.937;36.643;0.4606;1.765.224;1.052.849.491;367.940.979;269.506;11.862;96.416;2.252;-235.967;0.61;13.15;5.38;2.01;47.834;16.272
Cuba;2005;4.024.086.969;1.634.906.969;262.525;100.223;34.452;0.5209;2.245.852;1.010.232.324;3.479.986.952;277.226;13.234;89.417;22.632;-238.918;0.59;13.1;6.53;1.96;44.734;16.592
Cuba;2006;4.121.343.259;3.103.060.259;267.421;10.204;3.628;0.6394;16.493.168;1.025.005.471;364.802.399;28.113;15.119;93.193;22.693;-101.828;0.64;12.98;8.09;1.86;35.312;16.517
Cuba;2007;4.224.906.148;3.202.847.148;275.697;102.115;3.71;0.7578;173.137;1.023.619.617;3.720.761.027;288.633;16.785;94.219;22.753;-102.206;0.62;13.41;8.41;1.89;35.091;16.443
Cuba;2008;4.114.478.638;3.089.350.638;261.221;103.711;37.753;0.8763;15.858.978;1.037.937.763;3.778.868.065;274.537;17.498;96.599;22.814;-102.513;0.53;13.18;7.38;1.87;33.869;16.368
Cuba;2009;4.898.218.928;3.883.524.928;335.118;10.827;36.486;0.9947;23.241.584;109.129.691;3.685.965.103;348.641;18.284;100.023;22.874;-101.469;0.51;19.44;9.69;1.51;25.947;16.294
Cuba;2010;4.632.099.417;3.606.999.417;308.198;106.729;37.152;11.132;20.542.462;1.069.120.056;3.723.132.141;321.634;19.363;99.278;22.935;-10.251;0.51;18.01;8.74;1.35;25.325;15.309
Cuba;2011;4.549.582.667;3.533.095.667;294.416;108.976;39.199;12.368;19.157.172;1.098.092.412;3.956.056.811;307.639;20.602;103.641;22.976;-101.649;0.55;17.38;7.82;1.51;25.539;14.999
Cuba;2012;4.504.489.717;3.479.227.717;288.928;108.699;39.218;13.604;1.860.133;1.089.697.768;3.933.531.482;309.925;;103.453;23.018;-102.526;0.85;17.13;8;1.96;24.153;14.872
Cyprus;1990;4.997.710.352;4.992.680.352;44.243;0.3633;0.2053;0.0048;4.419.206;0.363355627;0.205348726;3.853;0.569;0.3431;0.2226;-0.005;0.9;1.74;0.78;1.15;0.1812;0.0017
Cyprus;1991;5.555.956.487;5.489.366.487;49.743;0.3726;0.2021;0.007;4.907.636;0.372572347;0.202140309;44.127;0.5713;0.3439;0.2281;-0.0666;1.02;1.81;1.28;1.14;0.1813;0.0014
Cyprus;1992;5.909.402.622;5.843.322.622;52.843;0.3804;0.2355;0.0093;5.218.156;0.380419067;0.235501893;47.224;0.5735;0.3798;0.2336;-0.0661;1.01;2.11;1.11;1.29;0.2114;0.001
Cyprus;1993;6.093.574.757;6.027.434.757;54.623;0.3891;0.2307;0.0115;5.396.102;0.389115787;0.230723477;49.222;0.5538;0.3785;0.2391;-0.0661;0.85;2.22;1.18;1.32;0.2015;0.0007
Cyprus;1994;6.302.290.892;6.236.080.892;5.654;0.4019;0.2327;0.0137;5.587.722;0.401932507;0.232705061;51.319;0.5377;0.3881;0.2446;-0.0662;0.91;2.35;1.21;1.37;0.2016;0.0003
Cyprus;1995;6.188.091.027;6.121.811.027;55.393;0.4095;0.2233;0.016;5.472.996;0.409539227;0.223316645;50.217;0.5253;0.381;0.2501;-0.0663;1;2.14;1.23;1.45;0.2017;0
Cyprus;1996;650.337.414;643.700.414;58.283;0.4219;0.2322;0.0209;5.761.934;0.421937658;0.232193266;53.316;0.5192;0.3968;0.2557;-0.0664;1.04;2.26;1.36;1.51;0.2016;0
Cyprus;1997;6.572.061.254;6.506.041.254;59.043;0.4319;0.2099;0.0259;5.837.906;0.432186089;0.210049888;54.615;0.4802;0.379;0.2613;-0.066;1.05;2.4;1.28;1.57;0.2115;0
Cyprus;1998;7.075.586.367;7.009.086.367;63.909;0.4362;0.2177;0.0309;6.324.396;0.43615452;0.217656509;57.915;0.6318;0.3854;0.2669;-0.0665;1.09;2.62;1.32;1.64;0.2115;0
Cyprus;1999;7.317.863.481;7.251.303.481;66.252;0.436;0.2208;0.0358;6.558.688;0.435962951;0.22080313;60.414;0.6111;0.3829;0.2725;-0.0666;1.28;2.8;1.36;1.68;0.2014;0
Cyprus;2000;7.647.810.594;7.581.180.594;69.662;0.4426;0.1982;0.0408;689.953;0.442621383;0.198209751;62.714;0.737;0.3614;0.2781;-0.0666;1.42;2.93;1.39;1.72;0.2314;0
Cyprus;2001;7.547.110.388;7.434.120.388;68.415;0.4506;0.2075;0.0475;6.728.514;0.450606832;0.207470288;61.617;0.729;0.3725;0.2839;-0.113;1.55;2.82;1.33;1.78;0.2317;0
Cyprus;2002;7.776.636.182;7.663.356.182;70.281;0.4706;0.2236;0.0542;6.914.864;0.470642282;0.223610824;6.312;0.7724;0.4025;0.2898;-0.1133;1.35;2.98;1.32;1.76;0.252;0
Cyprus;2003;8.588.219.976;8.475.259.976;77.971;0.4903;0.2399;0.0609;7.684.112;0.490257732;0.239941361;69.923;0.878;0.4322;0.2957;-0.113;1.36;3.5;1.36;1.87;0.2623;0
